"Tipo";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";"Central Reservas";"Posada Real";"GPS.Longitud";"GPS.Latitud";
"Casa Rural de Alquiler";"LOS  VOLANTES";"LOS VOLANTES, S/N";"34477";"Palencia";"Bárcena de Campos";"BARCENA DE CAMPOS";"BARCENA DE CAMPOS";"979887050";"669311911";"";"";"los_volantes@hotmail.com";"www.casalosvolanates.comwww.ecoturismopalencia.es";"";"Si";"";"-4,4988412";"42,4838703";
"Casa Rural de Alquiler";"LA ABUELA";"LA AMARGURA, S/N";"24436";"León";"Vega de Espinareda";"SAN PEDRO DE OLLEROS";"SAN PEDRO DE OLLEROS";"689912546";"689912546";"";"";"";"";"";"";"";"-6,7132594";"42,7313872";
"Casa Rural de Alojamiento Compartido";"LOS ACEBOS";"PLAZA EL CHARCON, 11";"24130";"León";"Murias de Paredes";"MURIAS DE PAREDES";"MURIAS DE PAREDES";"987593125";"";"";"";"";"";"";"";"";"-6,1907044";"42,8499751";
"Casa Rural de Alquiler";"LA ADUANA";"GRANDE,1";"37555";"Salamanca";"Alberguería de Argañán (La)";"ALBERGUERIA DE ARGAÑAN (LA)";"";"923489369";"669235234";"";"";"";"";"";"";"";"-6,8144237";"40,4119512";
"Casa Rural de Alquiler";"ALFARO I";"LAGUNA, 8";"37510";"Salamanca";"Martiago";"MARTIAGO";"";"923 480125";"989 143992";"";"";"";"";"";"";"";"-6,4905721";"40,4522469";
"Casa Rural de Alquiler";"ALFARO II";"LAGUNA, 8";"37510";"Salamanca";"Martiago";"MARTIAGO";"";"923 480125";"989 143992";"";"";"";"";"";"";"";"-6,4905721";"40,4522469";
"Casa Rural de Alquiler";"ALFARO III";"CHORRO, S/N";"37510";"Salamanca";"Martiago";"MARTIAGO";"";"923 480125";"989 143992";"";"";"";"";"";"";"";"-6,4905721";"40,4522469";
"Casa Rural de Alquiler";"ALFARO IV";"CHORRO, S/N";"37510";"Salamanca";"Martiago";"MARTIAGO";"";"923 480125";"989 143992";"";"";"";"";"";"";"";"-6,4905721";"40,4522469";
"Centro de Turismo Rural";"ALISTE Y SAYAGO";"POBLADO DEL SALTO DE VILLALCAMPO";"49166";"Zamora";"Villalcampo";"VILLALCAMPO";"VILLALCAMPO";"980554696";"667473953";"607388288";"";"INFO@ARRIBES-SPAIN.COM";"WWW.ARRIBES-SPAIN.COM";"";"";"";"-6,0462493";"41,5219602";
"Posada";"ARTESA";"MAYOR, 57";"37710";"Salamanca";"Candelario";"CANDELARIO";"CANDELARIO";"923413111";"923413087";"";"";"info@artesa.es";"www.artesa.es";"";"Si";"";"-5,7435534";"40,3673373";
"Casa Rural de Alquiler";"LA ARTESANA";"CTRA. DE CORIA,  30";"37657";"Salamanca";"Sotoserrano";"SOTOSERRANO";"";"923 422114";"923 192099";"";"";"";"";"";"";"";"-6,0331033";"40,4356187";
"Casa Rural de Alquiler";"LA ASOMAILLA";"Avenida JUSTO MUÑOZ 2";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349010";"";"";"";"roberto.re@hotmail.com";"";"";"Si";"";"-5,1748643";"40,3526106";
"Casa Rural de Alojamiento Compartido";"AURI";"ROBLEDA, 13";"37540";"Salamanca";"Fuenteguinaldo";"FUENTEGUINALDO";"";"923 471102";"";"";"";"";"";"";"";"";"-6,6708996";"40,4265412";
"Casa Rural de Alquiler";"AURORA";"Calle ARRIBA, 18";"40554";"Segovia";"Maderuelo";"MADERUELO";"MADERUELO";"921556222";"689989088";"";"";"auroraramos@casaruralaurora1.com";"";"";"";"";"-3,5219322";"41,4864665";
"Casa Rural de Alquiler";"AURORA II";"Calle ARRIBA 18   A";"40554";"Segovia";"Maderuelo";"MADERUELO";"MADERUELO";"921556222";"689989088";"";"";"auroraramos@casaruralaurora1.com";"";"";"";"";"-3,5219322";"41,4864665";
"Casa Rural de Alquiler";"CASA LOBO";"AVDA. BALTASAR LOBO, 7";"49640";"Zamora";"Cerecinos de Campos";"CERECINOS DE CAMPOS";"";"699370012";"983356113";"";"983419530";"Dezantcr@jcyl.es";"";"";"";"";"-5,4849626";"41,9004146";
"Casa Rural de Alquiler";"EL BARRANCO";"FINCA EL BARRANCO";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"NAVALUENGA";"608621059";"";"";"";"";"webs.demasiado.com/fincaelbarranco";"";"";"";"-4,7057041";"40,4126514";
"Casa Rural de Alquiler";"LA CABEZUELA";"TRAVESIA DE LA CABEZUELA, S/N.";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920206204";"902424141";"";"920206235";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-5,1762274";"40,3586809";
"Casa Rural de Alojamiento Compartido";"LA CANCHERA";"SALAMANCA, 12";"37511";"Salamanca";"Agallas";"AGALLAS";"";"923 490309";"923 490352";"";"";"";"";"";"";"";"-6,4427912";"40,4494964";
"Casa Rural de Alojamiento Compartido";"EL CARZAL";"C/ El Carzal, 18";"49357";"Zamora";"San Justo";"ROZAS";"ROZAS";"980621494";"627767879";"";"980621494";"info@casasruralessanabria.com";"www.casasruralessanabria.com";"";"Si";"";"-6,6319542";"42,1495263";
"Casa Rural de Alquiler";"LA CASA";"CAMINO NUEVO, 7";"37619";"Salamanca";"Herguijuela de la Sierra";"HERGUIJUELA DE LA SIERRA";"";"923 433038";"";"";"";"";"";"";"";"";"-6,0734698";"40,4444906";
"Casa Rural de Alquiler";"CASA 1";"REAL, S/N";"34812";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"979122522";"";"979122552";"reservas@posadasantamarialareal.com";"www.posadasantamarialareal.com";"";"";"";"-4,2390083";"42,8568556";
"Casa Rural de Alquiler";"CASA 2";"REAL,S/N";"34812";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"979122552";"";"979122552";"reservas@posadasantamarialareal.com";"www.posadasantamarialareal.com";"";"";"";"-4,2390083";"42,8568556";
"Casa Rural de Alquiler";"CASA 3";"REAL, S/N";"34812";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"979122552";"";"979122552";"reservas@posadasantamarialareal.com";"www.posadasantamarialareal.com";"";"";"";"-4,2390083";"42,8568556";
"Casa Rural de Alquiler";"CASA 4";"REAL, S/N";"34812";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"979122552";"";"979122552";"reservas@posadasantamarialareal.com";"www.posadasantamarialareal.com";"";"";"";"-4,2390083";"42,8568556";
"Casa Rural de Alquiler";"CASA 5 ""TORRE""";"REAL, S/N";"34812";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"979122552";"";"979122552";"reservas@posadasantamarialareal.com";"www.posadasantamarialareal.com";"";"";"";"-4,2390083";"42,8568556";
"Casa Rural de Alquiler";"CASA ADONINA";"CTRA. ANCARES, KM. 34";"24434";"León";"Vega de Espinareda";"VILLAR DE OTERO";"";"987550143";"";"";"";"";"";"";"";"";"-6,6575773";"42,7344217";
"Casa Rural de Alquiler";"CASA ANTI";"Calle MAYOR, 2";"34886";"Palencia";"Velilla del Río Carrión";"VELILLA DEL RIO CARRION";"VELILLA DEL RIO CARRION";"979861170";"630188980";"";"";"antifm@hotmail.es";"www.perso.wanadoo.es/casa.rural.anti";"";"";"";"-4,8442719";"42,827651";
"Casa Rural de Alquiler";"CASA ANTONIO";"Calle LA PLAZA, s/n";"24439";"León";"Vega de Espinareda";"ESPINO (EL)";"ESPINO (EL)";"987568588";"";"";"";"guialro@hotmail.com";"";"";"";"";"-6,7132594";"42,7313872";
"Casa Rural de Alquiler";"CASA AZUL ""B""";"BARRIO DE ABAJO";"34811";"Palencia";"Aguilar de Campoo";"CANDUELA";"CANDUELA";"979122000";"979122552";"";"979122552";"reservas@posadasantamarialareal.com";"www.posadasantamarialareal.com";"";"";"";"-4,272319";"42,7899486";
"Casa Rural de Alquiler";"CASA CALDERON";"MUNIO NUÑEZ";"34829";"Palencia";"Brañosera";"BRAÑOSERA";"BRAÑOSERA";"979607426";"";"";"";"";"";"";"";"";"-4,3081496";"42,9364513";
