Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,aparcamiento_firme,aparcamiento_delimitacion,aparcamiento_aparcabicicletas,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,89551,5,true,true,,VLIAP00002,,2010-01-10T23:00:00Z,2007-03-31T22:00:00Z,1,true,,El Regajo,3,1,1,false,5000,11,,6,false,false,POINT (-4.511989317166001 40.358513200691547)
,,,,,,-1,-1,-1,,,78532,5,true,true,false,FCCAP00015,Solera con mezcla de zahorra y tierra con plazas de aparcamiento delimitadas. Aparcabicicletas para 10 unidades.,2009-12-17T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Aparcamiento Senda Bosque Fósil,3,1,1,false,0,2,,1,true,true,POINT (-4.461232513618346 42.941307146664705)
,,,,,,-1,-1,-1,,,76206,5,true,true,,BSFAP00001,,2010-03-04T23:00:00Z,2005-10-10T22:00:00Z,1,true,"Este aparcamiento está en La Casa del Parque, situada en población de La Alberca, a la salida del pueblo por la carretera que lleva al Valle de Las Batuecas.",Casa del Parque,3,1,1,false,3100,3,,2,true,false,POINT (-6.116608155230451 40.488705621691345)
,,,,,,-1,-1,-1,,,76207,5,true,true,,BSFAP00002,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,Este aparcamiento se encuentra junto al río Agadón a unos 900 m. de la población de Monsagro y a la que se accede bajando por una pista asfaltada que sale del mismo pueblo hacia el río. Está junto al área recreativa de El Charco de los Mozos.,El Charco de los Mozos,3,1,2,false,100,11,,3,true,false,POINT (-6.275901890116129 40.499181588074002)
,,,,,,-1,-1,-1,,,76208,5,true,true,,BSFAP00003,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está situado junto al área recreativa de El Hortigal, al que se llega cogiendo la segunda carretera que va a Monforte de la Sierra desde la carretera que va de La Alberca a Sotoserrano.",El Hortigal,4,1,2,false,50,4,,3,true,false,POINT (-6.071229461884759 40.470359803606584)
,,,,,,-1,-1,-1,,,76209,5,true,true,,BSFAP00004,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento se encuentra en la carretera SA-201 que va desde La Alberca al Valle de Las Batuecas, a unos 3 km de la Alberca en el puerto denominado El Portillo y junto al mirador que lleva el mismo nombre.",El Portillo,3,1,2,false,200,11,,1,true,false,POINT (-6.119422826260986 40.472507398241419)
,,,,,,-1,-1,-1,,,76210,5,true,true,,BSFAP00005,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está a unos 5,5 km del pueblo de Monsagro por una pista que sale por la parte oeste del pueblo, junto al área recreativa de El Vao.",El Vao,3,1,2,false,80,11,,3,true,false,POINT (-6.310453688347754 40.492495637487885)
,,,,,,-1,-1,-1,,,76211,5,true,true,,BSFAP00006,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está ubicado a la salida de la población de El Casarito (Nava de Francia), en la carretera SA- 201 (El Cabaco-La Alberca), junto al área recreativa de la Fuente del Cántaro .",Fuente del Cántaro,3,1,1,false,300,11,,3,true,false,POINT (-6.137921732602533 40.521579094252708)
,,,,,,-1,-1,-1,,,76212,5,true,true,,BSFAP00007,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está situado a las afueras del pueblo de El Maíllo (a unos 500 m) en la carretera que va desde El Maíllo a La Alberca y Peña de Francia, junto al área recreativa de La Hoya.",La Hoya,3,1,1,false,170,7,,2,true,false,POINT (-6.17682186296038 40.561652111792952)
,,,,,,-1,-1,-1,,,76213,5,true,true,,BSFAP00008,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está situado en la carretera que va desde la población de Mogarraz a la población de Miranda del Castañar, a unos 2 km de Miranda del Castañar, junto al área recreativa de La Regajera.",La Regajera,3,1,1,false,250,7,,3,true,false,POINT (-6.011102407983788 40.486183808208693)
,,,,,,-1,-1,-1,,,76214,5,true,true,,BSFAP00009,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está ubicado en la población de El Casarito (Nava de Francia), en el cruce de la carretera que sube a la Peña de Francia desde esta población, junto al área recreativa de Las Eras.",Las Eras,3,1,1,false,70,11,,3,true,false,POINT (-6.138965184396706 40.526816378017976)
,,,,,,-1,-1,-1,,,76215,5,true,true,,BSFAP00010,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está en la carretera que va de Sotoserrano a Béjar a 2 km del primero, y junto al mirador de Las Juntas",Las Juntas,4,1,1,false,120,4,,3,true,false,POINT (-6.019575332438838 40.425924319794468)
,,,,,,-1,-1,-1,,,76216,5,true,true,,BSFAP00011,,2010-03-04T23:00:00Z,2009-01-14T23:00:00Z,1,true,"Este aparcamiento está situado en la carretera que va desde La Alberca a la población de Sotoserrano, a unos 6,5 km de La Alberca, junto al mirador de El Madroñal.",Madroñal,3,1,1,false,170,7,,2,true,false,POINT (-6.059850602850817 40.470233413898079)
