Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,arbol_nombre,especie_id,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,76222,19,true,true,false,BSFAS00001,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Eucalipto de Cepeda,1,1,2,true,0,1,,Eucalipto de Cepeda,1,POINT (-6.036913260553563 40.456971411628913)
,,,,,,-1,-1,-1,,,76223,19,true,true,,BSFAS00002,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Eucalipto del Convento,1,1,2,true,0,1,,Eucalipto del Convento,1,POINT (-6.143152776542797 40.461539650618889)
,,,,,,-1,-1,-1,,,76224,19,true,true,,BSFAS00003,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Roble de Nava de Francia,1,1,1,true,0,1,,Roble de Nava de Francia,2,POINT (-6.113439980352983 40.540400420808737)
,,,,,,-1,-1,-1,,,76225,19,true,true,,BSFAS00011,Adscrito al Catálogo de Árboles Singulares de Castilla y León,2010-03-04T23:00:00Z,2006-06-05T22:00:00Z,1,true,,Haya de Herguijuela,1,2,2,true,0,1,,Haya de Herguijuela,3,POINT (-6.078148911457459 40.453115254402825)
,,,,,,-1,-1,-1,,,76226,19,true,true,,BSFAS00007,,2010-03-04T23:00:00Z,2006-06-05T22:00:00Z,1,true,,Pino de la Alberca,1,1,2,true,0,1,,Pino de la Alberca,4,POINT (-6.13625086426164 40.459442337484063)
,,,,,,-1,-1,-1,,,76227,19,true,true,,BSFAS00006,Adscrito al Catálogo de Árboles Singulares de Castilla y León,2010-03-04T23:00:00Z,2006-06-05T22:00:00Z,1,true,,Tejo del Convento,1,2,2,true,0,1,,Tejo del Convento,5,POINT (-6.146571332699964 40.462986913643334)
,,,,,,-1,-1,-1,,,76228,19,true,true,,BSFAS00012,Adscrito al Catálogo de Árboles Singulares de Castilla y León,2010-03-04T23:00:00Z,2006-06-05T22:00:00Z,1,true,,Roble de la Alberca,1,1,1,true,0,1,,Roble de la Alberca,6,POINT (-6.085237974123345 40.48613252485513)
,,,,,,-1,-1,-1,,,76229,19,true,true,,BSFAS00013,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Castaño de la Alberca,1,1,1,true,0,1,,Castaño de la Alberca,7,POINT (-6.084992771124018 40.486082062256799)
,,,,,,-1,-1,-1,,,76230,19,true,true,,BSFAS00009,Adscrito al Catálogo de Árboles Singulares de Castilla y León,2010-03-04T23:00:00Z,2006-06-05T22:00:00Z,1,true,,Roble de la Pradera,1,1,1,true,0,1,,Roble de la Pradera,8,POINT (-6.053874419731486 40.477887215394837)
,,,,,,-1,-1,-1,,,76232,19,true,true,false,BSFAS00008,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Castaño de Monsagro,1,1,2,true,0,1,,Castaño de Monsagro,7,POINT (-6.28475862571549 40.502028591464708)
,,,,,,-1,-1,-1,,,76231,19,true,true,false,BSFAS00010,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Roble del puente de la Dehesa,1,2,2,true,0,1,,Roble del puente de la Dehesa,8,POINT (-6.044029536747618 40.459448527757552)
,,,,,,-1,-1,-1,,,76233,19,true,true,,BSFAS00004,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Roble Centenario,1,1,1,true,0,1,,Roble Centenario,6,POINT (-6.114931855815914 40.534990631782854)
,,,,,,-1,-1,-1,,,76234,19,true,true,,BSFAS00005,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Castaño Centenario,2,2,1,true,0,9,,Castaño Centenario,7,POINT (-6.139744558938115 40.521420311382059)
,,,,,,-1,-1,-1,,,76235,19,false,false,,BSFAS00014,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Madroñera de Miranda,1,1,2,true,0,1,,Madroñera de Miranda,9,POINT (-5.983687773651079 40.490809802345446)
,,,,,,-1,-1,-1,,,76236,19,true,true,,BSFAS00015,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Roble de El Cabaco,1,1,2,true,0,1,,Roble de El Cabaco,2,POINT (-6.130641794322992 40.567754761017753)
,,,,,,-1,-1,-1,,,76237,19,true,true,,BSFAS00016,,2010-03-04T23:00:00Z,2000-07-10T22:00:00Z,1,true,,Roble de Fuente Castaño,1,1,1,true,0,1,,Roble de Fuente Castaño,2,POINT (-6.09682083433627 40.491442249450337)
,,,,,,-1,-1,-1,,,78533,19,true,true,,FCCAS00001,,2009-12-16T23:00:00Z,2000-07-26T22:00:00Z,1,false,,La Olma,4,2,2,false,0,4,,La Olma,10,POINT (-4.745722752824927 42.895079336069472)
,,,,,,-1,-1,-1,,,79181,19,true,false,,HERAS00001,,2010-05-16T22:00:00Z,2004-08-25T22:00:00Z,1,false,Camino Ailanes a Gallejones a pie a 10m del camino.,Haya de Ailanes,4,1,2,true,0,4,,Haya de Ailanes,3,POINT (-3.744561664385015 42.867320367710931)
,,,,,,-1,-1,-1,,,79182,19,true,false,,HERAS00002,Fresno sin señalizar. Convendría ponerle un panel pequeño con sus datos.,2010-09-06T22:00:00Z,2004-08-25T22:00:00Z,1,false,Al Oeste del mirador de Vallejo,Fresno del mirador,4,1,1,true,0,4,,Fresno del mirador,11,POINT (-3.726535778875296 42.884599962762145)
,,,,,,-1,-1,-1,,,79183,19,true,false,,HERAS00003,,2011-06-08T22:00:00Z,2004-08-25T22:00:00Z,2,false,"En San Miguel de Cornezuelo, por el camino al Castro, a la izq., frente a un escombro de teja, hay un roto en un muro de piedra, ladereando a esa misma altura, se llega al roble.",Roble en San Miguel de Cornezuelo,1,2,2,true,0,1,,Roble en San Miguel de Cornezuelo,12,POINT (-3.723336530030712 42.89900138011869)
,,,,,,-1,-1,-1,,,79184,19,true,false,,HERAS00004,,2011-06-08T22:00:00Z,2004-08-25T22:00:00Z,2,false,A unos 200m. Del anterior hacia el Oeste y un poquito más alto. Se levanta el roble sobre una berruga grande.,Roble berrugoso en San Miguel de Cornezuelo,1,2,2,true,0,1,,Roble berrugoso en San Miguel de Cornezuelo,12,POINT (-3.723904312904967 42.900420596366715)
,,,,,,-1,-1,-1,,,79185,19,true,false,,HERAS00005,,2011-06-08T22:00:00Z,2004-08-25T22:00:00Z,2,false,"Por la ruta del gr-99, entre Cidad y Manzanedillo",Roble,1,2,2,true,0,1,,Roble,13,POINT (-3.706602685206631 42.896638493097726)
,,,,,,-1,-1,-1,,,79186,19,true,false,,HERAS00006,,2010-02-28T23:00:00Z,2004-08-25T22:00:00Z,4,false,,Quejigo,4,3,2,true,0,4,,Quejigo,14,POINT (-3.918450781397751 42.702044951676683)
,,,,,,-1,-1,-1,,,79187,19,true,false,,HERAS00007,,2010-02-28T23:00:00Z,2004-08-25T22:00:00Z,4,false,,Quejigo,4,3,2,true,0,4,,Quejigo,14,POINT (-3.917741515227895 42.701969588898514)
,,,,,,-1,-1,-1,,,79188,19,true,false,,HERAS00008,,2010-02-28T23:00:00Z,2004-08-25T22:00:00Z,4,false,,Quejigo,4,3,2,true,0,4,,Quejigo,14,POINT (-3.916958356104692 42.701021292634834)
,,,,,,-1,-1,-1,,,79189,19,true,false,,HERAS00009,,2010-02-28T23:00:00Z,2004-08-25T22:00:00Z,4,false,Senda del Rudrón.,Quejigo,1,3,2,true,0,1,,Quejigo,14,POINT (-3.91676821518641 42.7005455301979)
,,,,,,-1,-1,-1,,,79190,19,true,false,,HERAS00010,,2010-02-28T23:00:00Z,2004-08-25T22:00:00Z,4,false,Senda del Rudrón.,Quejigo,1,3,2,true,0,1,,Quejigo,14,POINT (-3.916754702260699 42.69962709059147)
,,,,,,-1,-1,-1,,,79191,19,true,false,,HERAS00011,,2010-02-28T23:00:00Z,2004-08-25T22:00:00Z,4,false,Senda del Rudrón.,Quejigo,1,3,2,true,0,1,,Quejigo,14,POINT (-3.916500904113546 42.69814323537765)
,,,,,,-1,-1,-1,,,79192,19,true,false,,HERAS00012,,2010-02-28T23:00:00Z,2004-08-25T22:00:00Z,4,false,Senda del Rudrón.,Quejigo,1,3,2,true,0,1,,Quejigo,14,POINT (-3.911360232202841 42.697256702297551)
,,,,,,-1,-1,-1,,,79193,19,true,false,,HERAS00013,,2010-02-28T23:00:00Z,2004-08-25T22:00:00Z,4,false,Senda del Rudrón.,Quejigo,1,3,2,true,0,1,,Quejigo,14,POINT (-3.909011722326626 42.697788672065393)
,,,,,,-1,-1,-1,,,79194,19,true,false,,HERAS00014,,2010-03-31T22:00:00Z,2004-08-25T22:00:00Z,3,false,Del camino de La Rad al molino El Zurdo. Track-25-Abril-10,Quejigo,1,3,2,true,0,1,,Quejigo,14,POINT (-3.89725314495456 42.693441739182013)
,,,,,,-1,-1,-1,,,79195,19,true,false,,HERAS00015,,2010-03-31T22:00:00Z,2004-08-25T22:00:00Z,3,false,Páramo de Moradillo por el camaino de Cuerda del Monte,Carrellano,1,3,1,true,0,1,,Carrellano,14,POINT (-3.883582055822054 42.704759716881377)
