Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,campamento_juvenil,campamento_servicio_informativo,campamento_cabanas,campamento_parcelas,campamento_categoria,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,85862,6,true,false,,PEUCT00004,,2010-08-04T22:00:00Z,1995-05-29T22:00:00Z,3,true,,C. El Urogallo (Cofiñal),4,1,3,false,0,4,,false,false,8,0,2,POINT (-5.269204638737614 43.028845180140543)
,,,,,,-1,-1,-1,,,85863,6,true,false,,PEUCT00005,,2010-08-04T22:00:00Z,1995-05-29T22:00:00Z,3,true,,C. Las Nieves (Puebla de Lillo),4,1,3,false,0,4,,false,false,6,0,2,POINT (-5.26641004894597 43.00391286199617)
,,,,,,-1,-1,-1,,,76263,6,true,false,,BSFCT00003,Cuenta con punto de información turística y estrecha colaboración con la Administración del Parque Natural,2010-03-04T23:00:00Z,2000-04-13T22:00:00Z,1,true,Situado en la carretera SA-201 en el km 73 a la salida de la población de El Casarito (Nava de Francia),Sierra de Francia,3,3,1,false,0,3,info@campingsierradefrancia.es,false,false,10,50,2,POINT (-6.138906281142317 40.521392489164811)
,,,,,,-1,-1,-1,,,72461,6,true,false,,ARDCJ00001,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Albergue municipal La Noria,3,1,2,true,0,4,,true,true,0,0,1,POINT (-6.614748083069702 41.218518368336845)
,,,,,,-1,-1,-1,,,72462,6,true,false,,ARDCJ00002,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Carretera,Albergue municipal Aires del Duero,1,1,2,true,0,1,,true,true,0,0,1,POINT (-6.460382374736628 41.265687841655442)
,,,,,,-1,-1,-1,,,76260,6,true,false,,BSFCJ00001,,2011-06-08T22:00:00Z,2000-07-10T22:00:00Z,2,false,,Campamento Juvenil La Legoriza,4,3,2,false,0,4,,true,false,0,0,1,POINT (-6.101505092911141 40.51767221396738)
,,,,,,-1,-1,-1,,,76261,6,true,false,,BSFCT00001,Este camping además cuenta con 17 apartamentos,2010-03-04T23:00:00Z,1987-07-21T22:00:00Z,1,true,"Situado en la carretera SA-201 en el km 76,4 a unos 2,5 km de la población de La Alberca, antes de llegar a ésta.",Al-bereka,3,3,1,false,0,3,turismo@albereka.com,false,false,5,74,2,POINT (-6.122211251893474 40.508771813033839)
,,,,,,-1,-1,-1,,,76262,6,true,false,,BSFCT00002,Camping integrado en la naturaleza. Está ubicado dentro del recorrido del sendero PRCSA-16,2010-03-04T23:00:00Z,1997-05-26T22:00:00Z,1,true,"Situado en la población de Miranda del Castañar en el llamado camino de la Noria , al cual se accede por la pista que sale enfrente del Centro de Salud. El camping está a unos 900 m. de dicho Centro.",El Burro Blanco,3,3,1,false,0,12,el.burro.blanco@hotmail.com,false,false,0,31,2,POINT (-5.998825869441568 40.474767984789558)
,,,,,,-1,-1,-1,,,76264,6,true,false,,BSFCT00004,"En las cercanías de este camping hay una piscina natural en el río Francia. También parten algunas rutas de senderismo, zona deportiva: pista fútbol, tenis, boley playa, pesca.",2010-03-04T23:00:00Z,2004-03-30T22:00:00Z,1,true,"Situado en el paraje denominado Vega de Francia, a unos 3 km de la población de Sotoserrano, al que se accede desde esta población por la carretera que va a Béjar, cogiendo un camino que sale a la izquierda antes de cruzar el puente del río Alagón.",Vega de Francia,3,3,1,false,0,13,info@vegadefrancia.com,false,false,4,40,2,POINT (-6.010776440545313 40.430481242441132)
,,,,,,-1,-1,-1,,,76265,6,true,false,,BSFCT00005,"En las cercanías de este camping hay un área recreativa (La Dehesa), zona deportiva (pistas de fútbol, frontón), centro de interpretación de la minería romana ""Las Cávenes"", y rutas de senderismo a la Peña de Francia",2010-03-04T23:00:00Z,1980-07-10T22:00:00Z,1,false,"Situado en la carretera SA-220 (El Cabaco-Ciudad Rodrigo), a unos 500 m. de la población de El Cabaco",Las Cávenes,3,3,3,false,0,7,campinglascavenes@yahoo.es,false,false,6,60,2,POINT (-6.134930391786048 40.567121957956566)
,,,,,,-1,-1,-1,,,78536,6,true,false,,FCCCJ00001,Conjunto de edificios en una extensión de 28000 m2. Cuenta con piscina y pista polideportiva.,2009-12-16T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Colonia Virgen del Brezo,4,1,1,false,0,4,,true,false,0,0,1,POINT (-4.835095761523644 42.849161554590495)
,,,,,,-1,-1,-1,,,78537,6,true,false,,FCCCT00001,,2011-06-08T22:00:00Z,2000-07-26T22:00:00Z,2,true,,Camping de Cervera de Pisuerga,4,3,2,false,0,4,,false,true,0,0,1,POINT (-4.505730923379547 42.872949805443248)
