Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,casa_parque_servicio_informativo,casa_parque_cida_biblio,casa_parque_tienda_verde,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,72463,7,true,false,false,ARDCP00001,,2010-07-15T22:00:00Z,2006-07-27T22:00:00Z,1,true,En el núcleo urbano de Fermoselle.,Casa del Parque Convento de San Francisco,3,1,1,true,0,8,http://www.miespacionatural.es,true,true,true,POINT (-6.398522756876999 41.315272358548867)
,,,,,,-1,-1,-1,,,72464,7,true,false,false,ARDCP00002,,2010-09-04T22:00:00Z,2004-07-24T22:00:00Z,1,true,"Se sitúa en el núcleo urbano de Sobradillo, localidad del este salmantino. La mejor forma de llegar es desde Salamanca por la SA-300 dirigiéndose hacia Ledesma o hacia Vitigudino por la C-517 y desde Zamora por la C-527 en dirección a Fermoselle. Desde Portugal, por la N-620 en dirección a Salamanca y por la N-122 hacia Zamora.
",Casa del Parque El Torreón de Sobradillo,3,1,3,true,0,7,http://www.miespacionatural.es,true,false,false,POINT (-6.799337221642515 40.91767470698472)
,,,,,,-1,-1,-1,,,85866,7,true,true,false,PEUCP00002,,2010-08-04T22:00:00Z,2005-07-31T22:00:00Z,1,true,Se encuentra en el núcleo de Publa de Lillo. para acceder a esta localidad tomar la carretera de Puegbla de Lillo a Boñar LE-331.,Valle del Porma,3,1,1,true,0,3,http://www.miespacionatural.es,true,true,true,POINT (-5.275512350966602 43.00667136941513)
,,,,,,-1,-1,-1,,,85867,7,true,true,false,PEUCP00003,,2010-08-04T22:00:00Z,2004-07-31T22:00:00Z,1,true,"Esta casa se locliza en el núcleo de Lario, al noreste de la provincia de León. Pâra acceder a esta localidad hay que coger la Cl-625 en dirección al Puerto de Tarna y hasta Lario.",Picos de Europa (sector Oriental) Valdeburón,3,1,1,true,0,3,http://www.miespacionatural.es/espaciospanel/2489?tab=casas#tab-casa-2977,true,true,true,POINT (-5.090582929845824 43.040861666597621)
,,,,,,-1,-1,-1,,,85055,7,true,false,false,NCPCP00001,,2011-06-12T22:00:00Z,2000-08-14T22:00:00Z,1,true,Se encuentra en el núcleo urbano de Fuentes de la Nava.  La carretera  que accede a Fuentes de Nava es P-920.,Casa del Parque del Espacio Natural de la Nava y Campos de Palencia,1,1,2,true,0,1,http://www.miespacionatural.es/espaciospanel/2622?tab=casas#tab-casa-47338,true,true,true,POINT (-4.784455132367362 42.085018666786723)
,,,,,,-1,-1,-1,,,78538,7,true,true,false,FCCCP00001,,2009-12-16T23:00:00Z,2000-07-26T22:00:00Z,1,true,"Se encuentra en el casco urbano de Cervera de Pisuerga. Se llega a esta localidad desde las carreteras N-625 al este y N-611 al oeste, y se accede desde CL-627 y CL-626.",Casa Parque Fuentes de Carrionas y Fuente Cobre-Montaña Palentina,1,1,1,true,0,1,http://www.miespacionatural.es/espaciospanel/2431?tab=casas#tab-casa-2468,true,true,true,POINT (-4.496172097519321 42.86279184761932)
,,,,,,-1,-1,-1,,,76266,7,true,true,false,BSFCP00001,CIF: S-4711001-J,2010-03-04T23:00:00Z,2005-10-10T22:00:00Z,1,true,"La Casa se sitúa en el núcleo urbano de La Alberca. Desde Salamanca por la carretera C-512 hasta el pueblo de Vecinos, desde ahí seguir por la carretera SA-210 que llega a La Aberca.",Casa del Parque Las Batuecas-Sierra de Francia,3,1,1,true,0,10,http://www.miespacionatural.es/espaciospanel/2345?tab=casas#tab-casa-2346,true,true,true,POINT (-6.116091941481558 40.488067510328285)
,,,,,,-1,-1,-1,,,80302,7,true,true,false,HRDCP00001,Hay un contenedor de pilas,2010-06-27T22:00:00Z,1994-04-30T22:00:00Z,1,true,"La Casa se localiza en el núcleo urbano de Sepúveda, al nordeste de Segovia.",Casa del Parque de las Hoces del Río Duratón,1,1,3,true,0,1,http://www.miespacionatural.es/espaciospanel/2314?tab=casas#tab-casa-2318,true,true,true,POINT (-3.750086757898931 41.298729191783771)
,,,,,,-1,-1,-1,,,80590,7,true,false,false,HRRCP00001,CIF:G47549811,2010-05-31T22:00:00Z,2004-03-11T23:00:00Z,1,true,"La casa se slocaliza en el núcleo urbano de Montejo de la Vega de la Serrezuela. Desde la A-1, se toma la salida 146 en la localidad de Milagros y desde allí la carretera a Montejo de la Vega de la Serrezuela. Desde Aranda de Duero, se continúa por la N-1 hasta la localidad de Fuentespina. Allí seguiremos por la carretera la C-114 hasta la localidad de Fuentelcesped, donde tomaremos la carretera hasta Montejo de la Vega de la Serrezuela.",Casa del Parque Hoces del Río Riaza,3,1,1,true,0,3,http://www.miespacionatural.es/espaciospanel/2310?tab=casas#tab-casa-2312,true,true,true,POINT (-3.654497215558467 41.548505039835149)
,,,,,,-1,-1,-1,,,88956,7,true,false,false,SCLCP00001,"Limpieza: 12 horas a la semana (martes, miércoles, viernes y sábado, 3 horas cada día). Empresa de mantenimiento: SAGA, Electricidad Frentes, Seguritas, ThyssenKrupp, NISCAYAH, MIRAME de Madrid",2010-05-27T22:00:00Z,2005-01-14T23:00:00Z,1,true,"La Casa está en el núcleo urbano de Muriel de la Fuente. La mejor forma de llegar es por la carretera de Soria-Valladolid N-122 en la salida a Calatañazor, continuar por la Ctra Muriel de la Fuente/ SO-P-5026",Casa del Parque del Sabinar,2,1,1,true,0,3,http://www.miespacionatural.es/espaciospanel/2503?tab=casas#tab-casa-2504,true,true,true,POINT (-2.843521547290566 41.715952784575094)
