Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,centro_visitantes_tipo,centro_visitantes_atendido,centro_visitantes_capacidad_pernoctar,centro_visitantes_servicio_informativo,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,72321,8,true,false,,AGRCV00001,Para visitar el centro hay que ponerse previamente en contacto con El Acebarillo S.L.. Sala de interpretación,2011-06-07T22:00:00Z,2008-12-08T23:00:00Z,3,true,Calle urbana de Torrearevalo,Casa del Acebo,1,1,2,true,0,4,,1,0,0,true,POINT (-2.388404831455712 41.959298706444969)
,,,,,,-1,-1,-1,,,76267,8,true,false,,BSFCV00001,,2011-06-08T22:00:00Z,2000-07-10T22:00:00Z,2,false,,Centro de Interpretación de los grabados rupestres y el Convento de San José de Batuecas,4,3,2,true,0,4,,2,1,0,false,POINT (-6.115664422699778 40.48859672383054)
,,,,,,-1,-1,-1,,,76268,8,true,false,,BSFCV00002,,2011-06-08T22:00:00Z,2000-07-10T22:00:00Z,2,false,,Centro interpretación Minería Romana las Cávenes,4,3,2,true,0,4,,2,1,0,false,POINT (-6.134903331375071 40.567728471685164)
,,,,,,-1,-1,-1,,,76269,8,true,false,,BSFCV00003,,2011-06-08T22:00:00Z,2000-07-10T22:00:00Z,2,false,,Museo etnográfico de Mogarraz,4,3,2,true,0,4,,2,1,0,false,POINT (-6.052561162532022 40.492094003092106)
,,,,,,-1,-1,-1,,,76270,8,true,false,,BSFCV00004,,2011-06-08T22:00:00Z,2000-07-10T22:00:00Z,2,false,,Casa Museo Satur Juanela,4,3,2,true,0,4,,2,1,0,false,POINT (-6.109700996108431 40.488975443547098)
,,,,,,-1,-1,-1,,,76271,8,true,false,,BSFCV00005,,2011-06-08T22:00:00Z,2000-07-10T22:00:00Z,2,false,,Casa del Traje,4,3,2,true,0,4,,2,1,0,false,POINT (-6.111042883361692 40.488760291684123)
,,,,,,-1,-1,-1,,,77565,8,true,true,,CRLCV00001,Dispone de estufa de leña,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,true,Pista forestal de entrada al cañón desde El Nacedero,Cueva Fría,1,1,3,true,0,1,,3,1,0,true,POINT (-3.055476156328454 41.738680507741179)
,,,,,,-1,-1,-1,,,77566,8,true,true,,CRLCV00002,Dispone de estufa de leña,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,true,Carretera S0-960 PK 5,Siete Ojos,1,1,3,true,0,1,,3,1,0,true,POINT (-3.107053555582026 41.794565165352509)
,,,,,,-1,-1,-1,,,77567,8,true,true,,CRLCV00003,Recientemente se ha modificado su ubicación. Pendiente la dotación de energía electrica desde red municipal,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,true,En el núcleo de población de Hontoria,Hontoria del Pinar,1,1,3,true,0,1,,3,1,0,true,POINT (-3.164851719843967 41.84809938609834)
,,,,,,-1,-1,-1,,,78539,8,true,true,,FCCCV00001,"Arboreto interpretativo junto aparcamiento.Rectangular: 40x26m. Bordeado por talanquera de madera (66 tramos de 2m y 1,2alt) Parterres delimitados con rollizos de madera y caminos de zahorra. Parterre central d 0,6alt, 0,45anch y 14m de circunferencia.",2009-12-16T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Jardín interpretativo de la Tejeda de Tosande,3,1,1,true,0,2,,4,0,0,false,POINT (-4.518277130060877 42.824085710073334)
,,,,,,-1,-1,-1,,,78540,8,true,false,,FCCCV00002,,2009-12-16T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Centro de interpretación de las Truchas,3,1,1,true,0,4,,2,0,0,true,POINT (-4.848460713289114 42.826063855117255)
,,,,,,-1,-1,-1,,,78541,8,true,false,,FCCCV00003,,2009-12-16T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Museo etnográfico de Piedad Isla-Juan Torres,4,1,2,true,0,4,,2,0,0,true,POINT (-4.497059476893752 42.862843486923374)
,,,,,,-1,-1,-1,,,78542,8,true,false,,FCCCV00004,,2009-12-16T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Museo etnográfico Cantarranas,4,1,2,true,0,4,,2,0,0,true,POINT (-4.497149422247131 42.863555486556194)
,,,,,,-1,-1,-1,,,78543,8,true,false,,FCCCV00005,Fachada monumental,2009-12-16T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Casa de los Leones,4,1,2,true,0,4,,2,0,0,true,POINT (-4.498241179565943 42.86271933651156)
,,,,,,-1,-1,-1,,,78544,8,true,false,,FCCCV00006,Fachada monumental,2009-12-16T23:00:00Z,2000-07-26T22:00:00Z,1,true,,Casa de Cultura,4,1,2,true,0,4,,5,0,0,true,POINT (-4.498780747321985 42.864620626498628)
,,,,,,-1,-1,-1,,,79245,8,true,false,,HERCV00001,3euros adultos y 2euros niños entre 6 y 14 años. Es punto de información y centro temático. Está fuera de los límites del Parque Natural.,2009-12-31T23:00:00Z,2009-04-08T22:00:00Z,1,true,Carretera,Centro de Interpretación del Valle de Sedano Miguel Delives WP 390,3,1,1,false,0,18,,2,0,30,true,POINT (-3.743732054122096 42.71264685360704)
,,,,,,-1,-1,-1,,,84206,8,true,false,,MOBCV00005,,2009-12-28T23:00:00Z,2006-10-13T22:00:00Z,1,true,,Centro de Interpretación Arqueológica Desfiladero de la Horadada,3,1,2,false,0,9,,2,1,0,true,POINT (-3.399995400866881 42.800369795226196)
,,,,,,-1,-1,-1,,,85056,8,true,false,,NCPCV00001,,2010-03-07T23:00:00Z,2001-05-16T22:00:00Z,1,true,,Centro de Interpretación Iglesia de San Martín,3,1,2,false,0,3,,2,1,80,true,POINT (-4.694352586446472 42.154320720383176)
,,,,,,-1,-1,-1,,,81677,8,true,false,,LNUCV00001,,2011-06-08T22:00:00Z,2010-03-01T23:00:00Z,1,true,,Punto de información Paso de la Serrá,4,3,2,false,0,4,,3,0,0,false,POINT (-2.827166919871153 41.998293785541414)
,,,,,,-1,-1,-1,,,85057,8,true,false,,NCPCV00002,,2010-03-08T23:00:00Z,2007-01-14T23:00:00Z,1,true,,Casa Museo de la Laguna de Boada,3,1,2,false,0,3,,2,0,40,true,POINT (-4.877926342787875 41.989367650315167)
,,,,,,-1,-1,-1,,,85058,8,true,false,,NCPCV00003,,2010-03-10T23:00:00Z,2001-05-16T22:00:00Z,1,true,,Museo Parroquial de San Pedro,3,1,2,false,0,3,,2,0,50,true,POINT (-4.85893697310161 42.221642280331714)
,,,,,,-1,-1,-1,,,82512,8,false,false,,LSNCV00001,CDE.01,2010-05-31T22:00:00Z,2000-01-14T23:00:00Z,1,true,,Centro de Documentacion y Estudios,3,3,2,false,0,5,,6,0,0,false,POINT (-6.720169361310574 42.117063442142225)
,,,,,,-1,-1,-1,,,82513,8,false,false,,LSNCV00003,INF.01,2010-05-31T22:00:00Z,1990-01-14T23:00:00Z,1,true,,Caseta de Información,1,3,1,false,0,4,,3,0,0,false,POINT (-6.688739410626103 42.117375298100697)
,,,,,,-1,-1,-1,,,82514,8,true,false,,LSNCV00005,,2010-05-31T22:00:00Z,2008-01-14T23:00:00Z,1,true,,Oficina Comarcal Alta Sanabria,3,3,1,true,0,5,,7,0,0,false,POINT (-6.646127471209914 42.092388047258865)
,,,,,,-1,-1,-1,,,82515,8,true,false,,LSNCV00004,LIM.01,2010-05-31T22:00:00Z,1985-01-14T23:00:00Z,1,true,,Laboratorio Limnológico,3,3,1,true,0,5,,6,0,0,false,POINT (-6.646129007884303 42.092062919259888)
,,,,,,-1,-1,-1,,,83570,8,false,false,,LVFCV00001,,2010-03-02T23:00:00Z,2003-12-31T23:00:00Z,1,true,,Oficina Comarcal Villafáfila,3,1,1,false,0,4,,7,0,40,false,POINT (-5.592799108872368 41.855711157565288)
,,,,,,-1,-1,-1,,,83694,8,true,false,,MDLCV00001,,2011-06-11T22:00:00Z,2009-11-25T23:00:00Z,1,true,,Aula arqueológica de Las Médulas,1,1,1,false,0,1,,2,1,80,true,POINT (-6.768153552832066 42.460763853816282)
,,,,,,-1,-1,-1,,,83695,8,true,false,,MDLCV00002,,2011-06-11T22:00:00Z,2009-11-25T23:00:00Z,3,true,,Centro Luis del Olmo,1,1,1,false,0,1,,2,0,30,true,POINT (-6.821458648364872 42.414918785692628)
,,,,,,-1,-1,-1,,,83696,8,true,false,,MDLCV00003,,2011-06-11T22:00:00Z,2009-11-25T23:00:00Z,3,true,,Aula del Castaño,1,1,2,false,0,1,,1,0,30,false,POINT (-6.725499856176623 42.492593468957047)
,,,,,,-1,-1,-1,,,83697,8,true,false,,MDLCV00004,,2011-06-11T22:00:00Z,2009-11-25T23:00:00Z,3,true,"Situado en el pueblo de Las Médulas, en la calle General, después de la iglesia y a 400m aproximadamente del aparcamiento",Centro de recepción de visitantes de Las Médulas,3,1,1,false,0,11,,2,0,30,true,POINT (-6.767518369955136 42.456456014967564)
,,,,,,-1,-1,-1,,,83698,8,true,false,,MDLCV00005,,2011-06-11T22:00:00Z,2009-11-25T23:00:00Z,3,false,,Domus Romana,1,1,2,false,0,1,,2,0,0,false,POINT (-6.761213616416708 42.486216881451043)
,,,,,,-1,-1,-1,,,84202,8,true,false,,MOBCV00001,,2009-12-28T23:00:00Z,2006-10-13T22:00:00Z,1,true,,Oficina de turismo Oña,1,1,2,false,0,1,,3,1,0,true,POINT (-3.413921305239593 42.734602052113196)
,,,,,,-1,-1,-1,,,84203,8,true,false,,MOBCV00002,,2009-12-28T23:00:00Z,2006-10-13T22:00:00Z,1,true,,Punto de información,1,1,2,false,0,1,,3,1,0,true,POINT (-3.29476699047644 42.762566865647671)
,,,,,,-1,-1,-1,,,84204,8,true,false,,MOBCV00003,Grupos más de 12 concertar visita a través de correo electrónico,2009-12-28T23:00:00Z,2006-10-13T22:00:00Z,1,true,,Museo etnográfico Montejo de San Miguel,1,1,2,false,0,1,,2,1,0,true,POINT (-3.271818031928052 42.765318829149393)
,,,,,,-1,-1,-1,,,84205,8,true,false,,MOBCV00004,Grupos concertados en invierno tienen que pagar una tarifa de visita,2009-12-28T23:00:00Z,2006-10-13T22:00:00Z,1,true,,Portal del Espacio Natural Montes Obarenes,1,1,1,false,0,1,,2,1,0,true,POINT (-3.111014132612301 42.636068755678984)
,,,,,,-1,-1,-1,,,85160,8,true,true,false,OJGCV00001,"Otras dotaciones:dos papeleras pequeñas, aparcabicicletas, en el exterior hay una mesa, un banco y bancos corridos de piedra, un panel interpretativo en mal estado. Falta accesibilidad en la Ermita.",2010-06-06T22:00:00Z,1997-12-31T23:00:00Z,3,true,Peatonal con camino de tierra-grava ó camino enbaldosado con barandilla desde OJGAP0002 y OJGAP0003,Cueva y Ermita San Bernabé,3,1,3,true,0,3,,8,0,0,true,POINT (-3.66343481607418 43.034181925348328)
,,,,,,-1,-1,-1,,,85161,8,true,false,false,OJGCV00002,Apertura verano 2010,2010-06-06T22:00:00Z,2009-12-31T23:00:00Z,1,false,Senda peatonal desde la Casa del Parquea Quisicedo. En un futuro se accederá desde Villabáscones por pasarela peatonal sobre el FEVE,Museo etnográfico,3,1,2,true,0,9,,2,0,0,true,POINT (-3.67669931704996 43.047111551275705)
,,,,,,-1,-1,-1,,,85868,8,true,false,false,PEUCV00001,,2010-08-04T22:00:00Z,2007-12-31T23:00:00Z,1,true,Carretera,Jardín Cañada Real Oriental leonesa,3,1,1,false,0,11,,4,0,0,true,POINT (-5.091078839542032 43.041196573428479)
,,,,,,-1,-1,-1,,,85869,8,true,false,false,PEUCV00002,,2010-08-04T22:00:00Z,2006-03-31T22:00:00Z,1,false,Carretera,Museo etnográfico Valdeburón,3,1,1,false,0,11,,1,0,0,true,POINT (-5.091474771860304 43.041704081015276)
