Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,infra_tipo,infra_descripcion,infra_interes,infra_senalizacion_externa,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,72322,4,false,false,,AGRIM00001,"Dos pilones hormigón: 9 X 1,2 m. y 5X1,2 m. Al final del camino, en la parte alta",2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,3,1,"Abrevadero Del Norte. 2 Pilones De Hormigón: 9 X 1,2 M, 5 X 1,2 M",true,false,POINT (-2.43292652573596 41.990109423331027)
,,,,,,-1,-1,-1,,,72323,4,false,false,,AGRIM00002,"A 300m de la taina (por encima de la taina). 2 pilones: 9 X 1,2 m y 5 X 1,2 m. Se va a hacer una mejora a traves de propuesta de Fundación pendiente de adjudicación",2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,3,1,"Abrevadero de La Taina. A 300m de La Taina (Arriba). 2: 9 X 1,2 M, 5 X 1,2 M",true,false,POINT (-2.418441563287376 41.977612026433732)
,,,,,,-1,-1,-1,,,72324,4,false,false,,AGRIM00003,"Pilón hormigón 6 X 0,8 m. A 50 m del camino principal",2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,3,1,"Abrevadero de la Entrada. Pilón de Hormigón 6 X 0,8 M",true,false,POINT (-2.423279746720848 41.980509523859482)
,,,,,,-1,-1,-1,,,72325,4,true,false,,AGRIM00004,Próximamente será mejorado el paso. Propuesta de Fundación Patrimonio Natural pendiente de adjudicación,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,3,2,Puerta giratoria para personas,true,false,POINT (-2.420791727716993 41.964681478358337)
,,,,,,-1,-1,-1,,,72326,4,false,false,,AGRIM00005,Próximamente será mejorado el paso. Propuesta de Fundación Patrimonio Natural pendiente de adjudicación,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,1,3,Aforador peatonal,true,false,POINT (-2.420791727716993 41.964681478358337)
,,,,,,-1,-1,-1,,,72327,4,false,false,,AGRIM00006,Próximamente será mejorado el paso. Propuesta de Fundación Patrimonio Natural pendiente de adjudicación,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,3,4,"Portera metálica de 2,10m de ancho.",true,false,POINT (-2.420731309630991 41.96469018009239)
,,,,,,-1,-1,-1,,,72328,4,false,false,,AGRIM00007,Propuesta de Fundación Patrimonio Natural pendiente de adjudicación,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,1,4,Portera de madera,false,false,POINT (-2.391809808354327 41.960343544585704)
,,,,,,-1,-1,-1,,,72329,4,false,false,,AGRIM00008,Puerta giratoria para personas en la entrada Dehesa Gallinero,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,3,2,Puerta giratoria para personas en la entrada Dehesa Gallinero,true,false,POINT (-2.440317756872517 41.982575296234181)
,,,,,,-1,-1,-1,,,72330,4,false,false,,AGRIM00009,Puerta giratoria para personas en la entrada Gallinero (Pueblo),2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,3,2,Puerta giratoria para personas en la entrada Gallinero (Pueblo),true,false,POINT (-2.427131455159231 41.97499878606434)
,,,,,,-1,-1,-1,,,72331,4,false,false,,AGRIM00010,Toma de agua en la entrada Gallinero. Caseta de ladrillo de 25 m2,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,3,5,Toma de agua en la entrada Gallinero,false,false,POINT (-2.428301757987742 41.976400636342248)
,,,,,,-1,-1,-1,,,77597,4,false,true,,CRLIM00012,Ligado al área recreativa. Estructura de obra con puerta de madera.,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,43,Cubrecontenedor-Fuente del Pino,true,true,POINT (-3.143324337127902 41.793555795645702)
,,,,,,-1,-1,-1,,,78590,4,false,true,,FCCIM00046,"Caseta para contenedor de basura con capacidad para 2 uds. De madera tratada, con dos puertas. Solera de hormigón.",2009-12-16T23:00:00Z,2010-02-16T23:00:00Z,1,43,Caseta contenedor,false,false,POINT (-4.315752550729658 42.88403634604434)
,,,,,,-1,-1,-1,,,78596,4,false,true,,FCCIM00081,"Caseta para contenedor de basura. Estructura de madera, paredes de piedra y cubierta de teja. Con capacidad para un contenedor grande.",2009-12-16T23:00:00Z,2006-07-11T22:00:00Z,1,43,Caseta contenedor de basura,false,false,POINT (-4.472175404493381 42.924237734955106)
,,,,,,-1,-1,-1,,,78598,4,false,true,,FCCIM00083,"Caseta para contenedor de basura. Estructura de madera, paredes de piedra y cubierta de teja. Con capacidad para 1 contenedor grande. Anch.muro 36, alt.viga ant. 2,12m. Con solera de hormigón.",2009-12-16T23:00:00Z,2008-06-08T22:00:00Z,1,43,Caseta contenedor de basura,false,false,POINT (-4.64541526744149 42.908758136980197)
,,,,,,-1,-1,-1,,,78600,4,false,true,,FCCIM00085,"Caseta para contenedor de basura. Estructura de madera, muros de piedra y cubierta de teja. Anch. Muro 40 cm, alt viga anterior 2,10.",2009-12-16T23:00:00Z,2008-08-26T22:00:00Z,1,43,Caseta contenedor basura,false,false,POINT (-4.458664950812234 43.041662334935701)
,,,,,,-1,-1,-1,,,80701,4,false,false,,HRRIM00110,Asociado al equipamiento: AREA RECREATIVA DE LA PISADERA,2010-06-30T22:00:00Z,2010-06-29T22:00:00Z,1,43,,false,false,POINT (-3.663349228420739 41.547576862435378)
,,,,,,-1,-1,-1,,,83699,4,true,false,,MDLIM00001,,2009-01-09T23:00:00Z,2002-07-31T22:00:00Z,1,43,Cubre-contenedor,false,false,POINT (-6.774346216377682 42.490119613722484)
,,,,,,-1,-1,-1,,,83720,4,true,false,,MDLIM00022,,2009-01-09T23:00:00Z,2002-07-31T22:00:00Z,1,43,Cubre-contenedor,false,false,POINT (-6.766150228584726 42.455480325081069)
,,,,,,-1,-1,-1,,,83728,4,true,false,,MDLIM00030,,2009-01-09T23:00:00Z,2002-07-31T22:00:00Z,1,43,Cubre-contenedor,false,false,POINT (-6.758361894572911 42.454796643775602)
,,,,,,-1,-1,-1,,,83741,4,true,false,,MDLIM00043,,2009-01-09T23:00:00Z,2002-07-31T22:00:00Z,1,43,Cubre-contenedor,false,false,POINT (-6.757591015708877 42.460309522950077)
,,,,,,-1,-1,-1,,,83780,4,true,false,,MDLIM00082,,2009-01-09T23:00:00Z,2002-07-31T22:00:00Z,1,43,Cubierta tejadillo bancos-mesa campo de Braña,false,false,POINT (-6.750488138299151 42.448277008306192)
,,,,,,-1,-1,-1,,,85961,4,true,false,,PEUIM00223,,2010-08-04T22:00:00Z,1995-05-29T22:00:00Z,2,7,Llampas,false,false,POINT (-5.087106207450974 42.904682250419988)
,,,,,,-1,-1,-1,,,72478,4,true,false,,ARDIM00014,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2005-09-14T22:00:00Z,1,7,Fuente de Concejo,true,false,POINT (-6.211255738674264 41.440250482540826)
,,,,,,-1,-1,-1,,,72479,4,true,false,,ARDIM00015,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2005-09-14T22:00:00Z,1,7,Fuente de la Fragua,true,false,POINT (-6.21342957578747 41.437497023017777)
,,,,,,-1,-1,-1,,,72480,4,false,false,,ARDIM00016,Abrevadero,2009-12-14T23:00:00Z,2005-05-14T22:00:00Z,1,7,Fuente de las Eras,false,false,POINT (-6.282340944232248 41.450849961115516)
,,,,,,-1,-1,-1,,,72481,4,false,false,,ARDIM00017,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2005-09-14T22:00:00Z,1,7,Fuente de Valle del Pozo,true,false,POINT (-6.276594089529657 41.436325842888849)
,,,,,,-1,-1,-1,,,72482,4,true,false,,ARDIM00018,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2005-08-14T22:00:00Z,1,7,Fuente de la Rodilla,true,false,POINT (-6.274222701872909 41.418445238869502)
,,,,,,-1,-1,-1,,,72483,4,false,false,,ARDIM00019,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2005-09-14T22:00:00Z,1,7,Fuente de la Tijonera,true,false,POINT (-6.272657924531397 41.411114195671857)
,,,,,,-1,-1,-1,,,72484,4,false,false,,ARDIM00020,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2005-09-14T22:00:00Z,1,7,Fuente de las Chanas,true,false,POINT (-6.275651883389707 41.413559486518466)
,,,,,,-1,-1,-1,,,72485,4,true,false,,ARDIM00020,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,7,Fuente de Puerto Seguro,true,false,POINT (-6.763822551483923 40.821713517763591)
,,,,,,-1,-1,-1,,,72486,4,true,false,,ARDIM00021,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2005-10-14T22:00:00Z,1,7,Fuente la Manzanal,true,false,POINT (-6.390396488703493 41.311377809944887)
,,,,,,-1,-1,-1,,,72487,4,true,false,,ARDIM00022,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2002-01-14T23:00:00Z,1,7,Fuente de la Noria,true,false,POINT (-6.391542046350192 41.323555608674255)
,,,,,,-1,-1,-1,,,72488,4,true,false,,ARDIM00023,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2006-04-14T22:00:00Z,1,7,Fuente del Penao,true,false,POINT (-6.405596989025147 41.314278635586192)
,,,,,,-1,-1,-1,,,72489,4,true,false,,ARDIM00024,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2006-04-14T22:00:00Z,1,7,Fuente de San Lorenzo,true,false,POINT (-6.385660303836535 41.298801450058761)
,,,,,,-1,-1,-1,,,72490,4,true,false,,ARDIM00025,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2006-07-14T22:00:00Z,1,7,Fuente de Curva del Caño,true,false,POINT (-6.306948481034133 41.352298516285316)
,,,,,,-1,-1,-1,,,72491,4,true,false,,ARDIM00026,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2003-11-14T23:00:00Z,1,7,Fuente de la Fuentona,true,false,POINT (-6.331482030024491 41.364882449537326)
,,,,,,-1,-1,-1,,,72492,4,true,false,,ARDIM00027,Fuente de interés etnográfico,2009-12-14T23:00:00Z,2003-11-14T23:00:00Z,1,7,Fuente de la Pocera,true,false,POINT (-6.331308938808106 41.36266307840701)
