Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,observatorio_tipo,observatorio_entorno,tipo_estructura_id,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,72597,12,true,false,,ARDOB00001,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Pista,Observatorio de aves de Saucelle,1,1,2,true,0,1,,1,Muladar de Las Janas,1,POINT (-6.671075050614792 41.193413156153397)
,,,,,,-1,-1,-1,,,72598,12,true,false,,ARDOB00002,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,1,true,Pista,Observatorio de aves de Aldeadávila,1,1,2,true,0,1,,1,Muladar El Encinal,1,POINT (-6.763018029350095 41.034632858817801)
,,,,,,-1,-1,-1,,,79082,12,true,false,,FNTOB00001,Se trata de un antiguo refugio de pescadores con un uso actual de punto de información. Está dotado de telescopio terrestre para que los visitantes puedan contemplar los buitres que nidifican en los cortados situados enfrente,2010-05-27T22:00:00Z,1998-11-11T23:00:00Z,1,true,Entrada de La Fuentona,Punto de información y  observación fauna,1,1,1,true,0,4,,1,,1,POINT (-2.858502405687618 41.73131170106781)
,,,,,,-1,-1,-1,,,79516,12,true,false,,HEROB00001,Con calendario de visitas. Pertenece a Cantabria.,2010-04-30T22:00:00Z,2008-01-14T23:00:00Z,1,false,"Está sirtuado en el páramo de Lora en rebollar de ebro, Valderredible. A medio camino entre la carretea de Rocamundo y sargentes de la Lora",Observatorio Astronómico de La Lora,3,2,2,false,0,8,,2,Paramo de la Lora,1,POINT (-3.944962662877125 42.770590409945555)
,,,,,,-1,-1,-1,,,79517,12,true,false,,HEROB00002,"Con cartel informativo en forma de mesa inclinada deteriorado, con información del valle de Valderredible.",2010-04-30T22:00:00Z,2004-08-25T22:00:00Z,4,false,"Está sirtuado en el páramo de Lora en rebollar de ebro, Valderredible. A medio camino entre la carretea de Rocamundo y sargentes de la Lora",Observatorio del Valle Valderredible,2,2,2,false,0,3,,1,Vistas al Valle Valderredible,2,POINT (-3.944070403513912 42.770762593037411)
,,,,,,-1,-1,-1,,,83578,12,true,false,,LVFOB00001,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque I,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.593781377585726 41.854523039079581)
,,,,,,-1,-1,-1,,,83579,12,true,false,,LVFOB00002,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque II,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.593781377585726 41.854523039079581)
,,,,,,-1,-1,-1,,,83580,12,true,false,,LVFOB00003,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque III,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.593206933391293 41.854796984474284)
,,,,,,-1,-1,-1,,,83581,12,true,false,,LVFOB00004,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque IV,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.594567556192996 41.853777092604929)
,,,,,,-1,-1,-1,,,83582,12,true,false,,LVFOB00005,,2010-03-02T23:00:00Z,1995-01-14T23:00:00Z,1,true,,Observatorio Lagunas de la Casa del Parque V,1,2,2,false,0,1,,1,Lagunas de Villafáfila,1,POINT (-5.592788647447843 41.853362706473376)
