Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,otro_punto_interes_tipo,otro_punto_interes_descripcion,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,72333,13,true,false,,AGRPI00003,Junto al área recreativa del mismo nombre. Propuesta de Fundación Patrimonio Natural pendiente de adjudicación,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,3,true,Pista forestal (en las afueras de Torrearevalo),La Fuentona,3,1,2,true,0,5,,1,Manantial de agua,POINT (-2.392389852116968 41.960256550219498)
,,,,,,-1,-1,-1,,,72334,13,true,false,,AGRPI00004,En las inmediaciones de la Casa del Parque,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,1,true,Casco urbano Arévalo de la Sierra,La Fragua de Arévalo de la Sierra,1,1,2,true,0,4,,2,Antigua fragua rehabilitada,POINT (-2.399297452987567 41.946846068726295)
,,,,,,-1,-1,-1,,,72335,13,false,false,,AGRPI00007,"Planta circular, alambrada de 10m",2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,4,true,,Parcela de estudio Acebo,1,2,2,false,0,4,,3,Parcela de estudio evolución masas del acebo,POINT (-2.431239136257346 41.989474717953193)
,,,,,,-1,-1,-1,,,72336,13,false,false,,AGRPI00008,"Faja a hecho, realizada en 1998",2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,4,true,,Parcela de estudio Acebo,1,2,2,false,0,4,,3,Parcela de estudio evolución masas del acebo,POINT (-2.438196233070371 41.984978687450095)
,,,,,,-1,-1,-1,,,72337,13,false,false,,AGRPI00009,"Planta cuadrada, de 10 x 10m y alambrada",2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,4,true,,Parcela de estudio Acebo,1,2,2,false,0,4,,3,Parcela de estudio evolución masas del acebo,POINT (-2.433640480826805 41.981425735524226)
,,,,,,-1,-1,-1,,,72338,13,false,false,,AGRPI00010,Estudio de intensidad de poda,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,4,true,,Parcela de estudio Acebo,1,2,2,false,0,4,,3,Parcela de estudio evolución masas del acebo,POINT (-2.427883816650164 41.977245170355772)
,,,,,,-1,-1,-1,,,72339,13,false,false,,AGRPI00011,"Planta cuadrada, de 10 x 10m y alambrada",2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,4,true,,Parcela de estudio Acebo,1,2,2,false,0,4,,3,Parcela de estudio evolución masas del acebo,POINT (-2.423100405205948 41.974969593092034)
,,,,,,-1,-1,-1,,,72340,13,true,false,,AGRPI00001,Se requiere precaución al ser una taina con uso ganadero,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,4,true,Pista forestal (en el paraje Las Majadillas),Taina del Acebal,1,1,2,true,0,4,,2,Taina de piedra para ganado,POINT (-2.421426127180223 41.975924868595385)
,,,,,,-1,-1,-1,,,72341,13,true,false,,AGRPI00002,,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,1,true,Senda,Chozo de pastores,1,2,2,true,0,4,,2,"Chozo de pastores, de piedra y planta circular",POINT (-2.428461933147425 41.980085113832004)
,,,,,,-1,-1,-1,,,72342,13,true,false,,AGRPI00005,Propuesta de Fundación Patrimonio Natural pendiente de adjudicación,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,1,false,Pista forestal (en cuatro caminos),Fuente,1,2,2,true,0,4,,4,Fuente agua potable,POINT (-2.421972671827246 41.975549346502277)
,,,,,,-1,-1,-1,,,72343,13,true,false,,AGRPI00006,Propuesta de Fundación Patrimonio Natural pendiente de adjudicación para la colocación de la señalización,2010-06-15T22:00:00Z,2008-12-08T23:00:00Z,1,true,Pista forestal (en cuatro caminos),Sestil,1,2,2,true,0,4,,4,"Masas densas de acebales, practicamente monoespecíficas, que reciben el nombre de sestiles, y que funcionan a modo de majadas naturales para el ganado a los que proporcionan sombra en verano y refugio en invierno.",POINT (-2.422013864391592 41.976333124179327)
