Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,refugio_tipo,refugio_uso,refugio_actividad,refugio_capacidad_pernoctar,refugio_servicio_comida,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,81598,14,true,false,false,LGNRF00001,,2011-06-08T22:00:00Z,2008-12-08T23:00:00Z,4,false,Dirección a la Laguna de la Cascada,La Cascada,1,2,2,false,0,1,,5,1,Montañismo,true,false,POINT (-3.052315062169233 42.051117162716359)
,,,,,,-1,-1,-1,,,78691,14,true,true,false,FCCRF00004,"Refugio de montaña. De planta rectangular con muros de piedra y cubierta de teja. Altura total: 1,80+2,30m, anchura pared 50 cm. Dotaciones: mesa de madera tipo camping con dos bancos acoplados, banco de piedra en el interior y banco de piedra en la fachada principal, escalera interior que da acceso a la parte superior del refugio.",2009-12-16T23:00:00Z,2008-02-05T23:00:00Z,1,false,,Refugio de Postil Soña,4,2,2,false,0,4,,2,3,,false,false,POINT (-4.69322658237836 42.960162581767001)
,,,,,,-1,-1,-1,,,89582,14,true,false,,VLIRF00004,Zona de uso limitado,2011-06-13T22:00:00Z,1997-06-16T22:00:00Z,1,false,,Majalespino,1,1,2,false,0,1,,4,1,Recreo,false,false,POINT (-4.534921979963654 40.372710123509378)
,,,,,,-1,-1,-1,,,89583,14,true,true,,VLIRF00005,,2011-06-13T22:00:00Z,1997-06-16T22:00:00Z,1,true,,Pozo de la Nieve,1,2,2,false,0,1,,4,1,Recreo,false,false,POINT (-4.543116721647658 40.355953697796217)
,,,,,,-1,-1,-1,,,72344,14,true,false,,AGRRF00001,Refugio de 20x20m adosado a la taina,2011-06-07T22:00:00Z,2008-12-08T23:00:00Z,4,false,,Refugio del Pastor,4,2,2,true,0,4,,1,1,Ganadería,false,false,POINT (-2.421691491557583 41.975944218806127)
,,,,,,-1,-1,-1,,,72658,14,true,false,,ARDRF00001,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,4,false,Pista,Refugios de Los Molinos,1,1,2,false,0,1,,1,2,Recreo,false,false,POINT (-6.649813612794909 41.020162426312616)
,,,,,,-1,-1,-1,,,72659,14,true,false,,ARDRF00002,,2010-07-15T22:00:00Z,2002-04-10T22:00:00Z,3,true,Pista asfaltada,Refugio La Barca,1,1,2,true,0,1,,1,2,Recreo,false,false,POINT (-6.752014068626358 41.107097788964509)
,,,,,,-1,-1,-1,,,77872,14,true,true,,CRLRF00001,,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,false,Pista forestal desde la comarcal So-960,Cabeza Gorda,1,1,2,true,0,1,,2,1,Varios,true,false,POINT (-3.095185748741724 41.796569033264063)
,,,,,,-1,-1,-1,,,77873,14,true,true,,CRLRF00002,Tiene cerca una fuente,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,false,Pista forestal desde Hontoria del Pinar y desde Espeja de San Marcelino,Costalago,1,1,2,true,0,1,,2,1,Varios,false,false,POINT (-3.175328454362667 41.811597207534561)
,,,,,,-1,-1,-1,,,77874,14,true,true,,CRLRF00003,Tiene cerca una fuente,2010-04-15T22:00:00Z,1985-10-15T23:00:00Z,1,false,Pista forestal desde Santa María de las Hoyas,Fuente del Pino,1,1,2,true,0,1,,2,1,Varios,false,false,POINT (-3.138683242723973 41.790156887629578)
